ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002283	neutrophil activation involved in immune response	159/2551	488/18670	1.658e-27	4.092e-24	2.495e-24	S100A8/MAN2B1/KCNAB2/GAA/FUCA1/GSTP1/SERPINA1/DIAPH1/GRN/RAB5C/SLC2A3/RHOG/CD55/STXBP2/PYGL/CTSA/GLA/MLEC/PGAM1/ABR/CD63/METTL7A/TIMP2/RNASE2/ATP6V0A1/MIF/CST3/QPCT/ATP6V0C/GCA/CAT/CD53/DDX3X/RAP1B/TYROBP/ITGAM/LAIR1/CTSC/ARSA/CD33/ROCK1/HSPA6/ASAH1/TUBB/GM2A/SLC2A5/TCIRG1/ALDH3B1/AZU1/PAFAH1B2/CPNE1/PYGB/HSPA8/PFKL/TMC6/CD14/CKAP4/MMP9/DOCK2/CYFIP1/EEF2/IQGAP2/IMPDH1/ATP11B/PSMD3/HSP90AB1/PLD1/ADAM8/VAPA/PSMD11/RAP2C/SYK/PECAM1/NCSTN/APRT/LILRA3/OSTF1/PPBP/CTSD/S100P/SNAP23/CPNE3/ADAM10/PNP/DGAT1/ACTR1B/NPC2/RAB27A/P2RX1/FGR/RHOA/ITGB2/FPR2/RAP2B/HSP90AA1/NCKAP1L/CREG1/MAPK14/PTAFR/PLAUR/PRKCD/FCAR/ALOX5/PTX3/PSMD14/CFD/OLR1/TOM1/IDH1/VAMP8/BST1/CAPN1/HSPA1B/PSAP/TNFAIP6/FCN1/XRCC5/ATP6V1D/NEU1/XRCC6/MNDA/CD44/CTSZ/DYNC1H1/BST2/CTSH/S100A9/ANPEP/DDOST/FTH1/PLEKHO2/AP2A2/SLPI/PSMB1/CEACAM1/JUP/MME/SIRPA/NBEAL2/CD36/GLIPR1/SPTAN1/CD300A/SERPINB6/VAT1/PTPRJ/LPCAT1/FRK/FTL/PDAP1/S100A12/FABP5/ALAD/COPB1/ITGAL/RAC1/CRISP3/PSMD13/DNASE1L3	159
BP	GO:0042119	neutrophil activation	161/2551	498/18670	2.028e-27	4.092e-24	2.495e-24	S100A8/MAN2B1/KCNAB2/GAA/FUCA1/GSTP1/SERPINA1/DIAPH1/GRN/RAB5C/SLC2A3/RHOG/CD55/STXBP2/PYGL/CTSA/GLA/MLEC/PGAM1/ABR/CD63/METTL7A/TIMP2/RNASE2/ATP6V0A1/MIF/CST3/QPCT/ATP6V0C/GCA/CAT/CD53/DDX3X/RAP1B/TYROBP/ITGAM/LAIR1/CTSC/ARSA/CD33/ROCK1/HSPA6/ASAH1/TUBB/GM2A/SLC2A5/TCIRG1/ALDH3B1/AZU1/PAFAH1B2/CPNE1/PYGB/HSPA8/PFKL/TMC6/CD14/CKAP4/MMP9/DOCK2/CYFIP1/EEF2/IQGAP2/IMPDH1/ATP11B/PSMD3/HSP90AB1/PLD1/ADAM8/IL15/VAPA/PSMD11/RAP2C/SYK/PECAM1/NCSTN/APRT/LILRA3/OSTF1/PPBP/CTSD/S100P/SNAP23/CPNE3/ADAM10/PNP/DGAT1/ACTR1B/NPC2/RAB27A/P2RX1/FGR/RHOA/ITGB2/FPR2/RAP2B/HSP90AA1/NCKAP1L/CREG1/MAPK14/PTAFR/PLAUR/PRKCD/FCAR/ALOX5/PTX3/PSMD14/CFD/OLR1/TOM1/IDH1/VAMP8/BST1/CAPN1/HSPA1B/PSAP/TNFAIP6/FCN1/XRCC5/ATP6V1D/NEU1/CXCL8/XRCC6/MNDA/CD44/CTSZ/DYNC1H1/BST2/CTSH/S100A9/ANPEP/DDOST/FTH1/PLEKHO2/AP2A2/SLPI/PSMB1/CEACAM1/JUP/MME/SIRPA/NBEAL2/CD36/GLIPR1/SPTAN1/CD300A/SERPINB6/VAT1/PTPRJ/LPCAT1/FRK/FTL/PDAP1/S100A12/FABP5/ALAD/COPB1/ITGAL/RAC1/CRISP3/PSMD13/DNASE1L3	161
BP	GO:0043312	neutrophil degranulation	158/2551	485/18670	2.482e-27	4.092e-24	2.495e-24	S100A8/MAN2B1/KCNAB2/GAA/FUCA1/GSTP1/SERPINA1/DIAPH1/GRN/RAB5C/SLC2A3/RHOG/CD55/STXBP2/PYGL/CTSA/GLA/MLEC/PGAM1/ABR/CD63/METTL7A/TIMP2/RNASE2/ATP6V0A1/MIF/CST3/QPCT/ATP6V0C/GCA/CAT/CD53/DDX3X/RAP1B/TYROBP/ITGAM/LAIR1/CTSC/ARSA/CD33/ROCK1/HSPA6/ASAH1/TUBB/GM2A/SLC2A5/TCIRG1/ALDH3B1/AZU1/PAFAH1B2/CPNE1/PYGB/HSPA8/PFKL/TMC6/CD14/CKAP4/MMP9/DOCK2/CYFIP1/EEF2/IQGAP2/IMPDH1/ATP11B/PSMD3/HSP90AB1/PLD1/ADAM8/VAPA/PSMD11/RAP2C/SYK/PECAM1/NCSTN/APRT/LILRA3/OSTF1/PPBP/CTSD/S100P/SNAP23/CPNE3/ADAM10/PNP/DGAT1/ACTR1B/NPC2/RAB27A/P2RX1/FGR/RHOA/ITGB2/FPR2/RAP2B/HSP90AA1/NCKAP1L/CREG1/MAPK14/PTAFR/PLAUR/PRKCD/FCAR/ALOX5/PTX3/PSMD14/CFD/OLR1/TOM1/IDH1/VAMP8/BST1/CAPN1/HSPA1B/PSAP/TNFAIP6/FCN1/XRCC5/ATP6V1D/NEU1/XRCC6/MNDA/CD44/CTSZ/DYNC1H1/BST2/CTSH/S100A9/ANPEP/DDOST/FTH1/PLEKHO2/AP2A2/SLPI/PSMB1/CEACAM1/JUP/MME/SIRPA/NBEAL2/CD36/GLIPR1/SPTAN1/CD300A/SERPINB6/VAT1/PTPRJ/LPCAT1/FRK/FTL/PDAP1/S100A12/FABP5/ALAD/COPB1/ITGAL/RAC1/CRISP3/PSMD13	158
BP	GO:0002446	neutrophil mediated immunity	161/2551	499/18670	2.604e-27	4.092e-24	2.495e-24	S100A8/MAN2B1/KCNAB2/GAA/FUCA1/GSTP1/SERPINA1/DIAPH1/GRN/RAB5C/SLC2A3/RHOG/CD55/STXBP2/PYGL/CTSA/GLA/MLEC/PGAM1/ABR/CD63/METTL7A/TIMP2/RNASE2/ATP6V0A1/MIF/CST3/QPCT/ATP6V0C/GCA/CAT/CD53/DDX3X/RAP1B/TYROBP/ITGAM/LAIR1/CTSC/ARSA/CD33/ROCK1/HSPA6/ASAH1/TUBB/GM2A/SLC2A5/TCIRG1/ALDH3B1/AZU1/PAFAH1B2/CPNE1/PYGB/HSPA8/PFKL/TMC6/CD14/CKAP4/MMP9/DOCK2/CYFIP1/EEF2/IQGAP2/IMPDH1/ATP11B/PSMD3/HSP90AB1/PLD1/ADAM8/ACE/VAPA/PSMD11/RAP2C/SYK/PECAM1/NCSTN/APRT/LILRA3/OSTF1/PPBP/CTSD/S100P/SNAP23/CPNE3/ADAM10/PNP/DGAT1/ACTR1B/NPC2/RAB27A/P2RX1/FGR/RHOA/ITGB2/FPR2/RAP2B/HSP90AA1/NCKAP1L/CREG1/MAPK14/PTAFR/PLAUR/PRKCD/FCAR/ALOX5/PTX3/PSMD14/CFD/OLR1/TOM1/IDH1/VAMP8/BST1/CAPN1/HSPA1B/PSAP/TNFAIP6/FCN1/XRCC5/ATP6V1D/NEU1/XRCC6/MNDA/CD44/CTSZ/DYNC1H1/BST2/CTSH/S100A9/ANPEP/DDOST/FTH1/PLEKHO2/AP2A2/SLPI/PSMB1/CEACAM1/JUP/MME/SIRPA/NBEAL2/CD36/GLIPR1/SPTAN1/CD300A/SERPINB6/VAT1/PTPRJ/LPCAT1/FRK/FTL/PDAP1/S100A12/FABP5/ALAD/COPB1/ITGAL/RAC1/CRISP3/ADAM17/PSMD13/DNASE1L3	161
BP	GO:0043434	response to peptide hormone	131/2551	436/18670	2.184e-19	2.745e-16	1.674e-16	GSTP1/ANXA1/POR/BSG/GNAI2/TSC2/SRD5A1/NR4A3/ATP6V0A1/BTG1/CREB1/ATP6V0C/PTPRE/CAT/PPARG/HADHA/NR4A2/ADCY3/RAP1B/CRHBP/CYC1/INPPL1/RANGAP1/FYN/HHEX/AKT1/WDTC1/APEX1/ROCK1/HADH/EIF2B5/TCIRG1/RHOQ/ADM/CAV1/TIMP4/STAT2/CYFIP1/ATP2B1/HSF1/ADIPOQ/EPM2AIP1/STAT6/ATP6V1A/EIF6/RNF40/CSK/CRY1/PTK2/PTGS2/AP3S1/PRKDC/APRT/OSBPL8/ATP6AP1/AREG/XBP1/SOS1/PLN/GSK3A/IRS1/SCAP/MTOR/LPL/QDPR/PRKCQ/GCGR/ATP6V1B2/EGR2/CFLAR/EREG/MYO5A/PRKCD/PRKCI/GNAI1/ATP6V1G1/GRB2/CSRP3/CAD/GHR/CDK4/ADCY9/EIF2B1/CHUK/PARP1/SREBF1/ATP6V1H/TNFSF10/NDEL1/GCG/ANXA5/STAT1/PRKAA1/ATP6V1D/PRKACB/ATP6V1E1/GCNT1/EIF2B2/GRB10/UCP3/KAT2B/AKT2/VAMP2/MEN1/ENPP1/NR4A1/PDK2/SLC2A4/PIK3R2/TGFBR3/CEACAM1/CCNA2/SORT1/PRKAR2B/ATP6V0E2/EIF2B4/PRKAR2A/FOXO3/CXCL12/GAL/ZBTB7B/PHEX/PPARA/GH1/ROCK2/LEPROT/NFE2L2/ATP6V0D1/STAT5A/LRP6/CDC6	131
BP	GO:0006979	response to oxidative stress	129/2551	451/18670	3.57e-17	3.739e-14	2.28e-14	NCF4/GSTP1/ATRN/LDHA/ANXA1/HDAC6/JUN/ATF4/BTK/NUDT1/NR4A3/MGMT/MAPK3/TXN/PRNP/BTG1/CAT/NR4A2/TXNIP/TP53/MCL1/PINK1/FYN/AKT1/APEX1/TXN2/GPX1/GPX3/DAPK1/TXNRD2/ABCD1/PDLIM1/XPA/STK25/SFPQ/PDCD10/ABL1/ALDH3B1/CASP3/AIF1/MPV17/TXNRD1/TNFAIP3/MMP9/NET1/ARNT/ADNP2/CCR7/XRCC1/NDUFS2/EEF2/HSF1/ADIPOQ/OXSR1/STAT6/MMP14/PML/PPIF/ADA/PTGS2/CAPN2/PRODH/KLF4/GPX7/MYB/AREG/ETFDH/GSR/PCNA/HNRNPD/BAK1/MAPKAP1/OSER1/HGF/HMOX1/CFLAR/PRKCD/CDK2/AXL/ATP7A/SETX/RAD52/BAD/SLC23A2/KDM6B/CHUK/TRAP1/IDH1/PARP1/CYCS/VRK2/CTNNB1/HSPA1B/PSAP/STAT1/PRKAA1/CYP1B1/ERCC1/UCP3/AIFM1/NME5/DNM2/MAPK7/PDK2/MTF1/GCH1/SLC7A11/SIRPA/DHFR/CD36/PRKD1/GCLM/CCNA2/ARNTL/CCS/FOXO3/HYAL2/PON2/PSIP1/ALAD/MET/NFE2L2/ATOX1/CDK1/GNAO1/MMP3/MAPK13/GPX2/SIGMAR1	129
BP	GO:0070482	response to oxygen levels	116/2551	394/18670	1.407e-16	1.264e-13	7.704e-14	LDHA/ATM/ATF4/CYP1A1/HK2/VEGFB/CDKN1A/RBPJ/PHB2/CREBBP/ITPR2/CREB1/PIN1/CAT/PPARG/NR4A2/TP53/AHCY/PINK1/PSEN2/AKT1/TXN2/VEGFA/PDLIM1/PSMB4/GATA6/CASP3/DDIT4/UCP2/BNIP3L/PPARD/ADM/PSME3/CAV1/ARNT/PMAIP1/XRCC1/HSF1/ADIPOQ/NDRG1/PSMB3/NAMPT/PSMD3/ATP6V1A/MMP14/PML/ADAM8/THBS1/PSMB9/PSMD11/ADA/PTGS2/CAPN2/PSMA1/MYB/FAS/ENO1/ATP6AP1/SCAP/MTOR/UBC/PSME1/RHOA/SRF/HMOX1/CFLAR/ATP6V1G1/ATP7A/ASCL2/CDK4/BAD/PSMD14/S100B/IRAK1/PGK1/RPS27A/PRKAA1/PSMC6/TM9SF4/LMNA/PSMA3/UCP3/AIFM1/TGFB2/PSMC1/SLC2A4/ACTN4/TGFBR3/PSMB1/SCFD1/MDM4/CUL2/CCNA2/NF1/PSMA4/KCNK2/TRH/FOXO3/CXCL12/RORA/PSMC4/EDNRA/PTN/PLOD2/ALAD/PPARA/ROCK2/NFE2L2/CCNB1/RWDD3/MTHFR/ADAM17/PSMD13/ATP6V0D1/ANKRD1/PSMD8	116
BP	GO:0046677	response to antibiotic	101/2551	327/18670	4.075e-16	3.202e-13	1.952e-13	S100A8/GSTP1/LDHA/ANXA1/RGS19/HDAC6/CRIP1/JUN/UROS/CYP1A1/SRD5A1/NR4A3/MGMT/ITPR2/TXN/TUFM/CAT/SPI1/TXNIP/ADCY3/TP53/CRHBP/PINK1/FYN/APEX1/GPX1/STK25/ID1/PDCD10/ABL1/CASP3/CD14/TNFAIP3/NET1/CCL7/USP46/HPGD/EEF2/HSF1/ADIPOQ/STAT6/PPIF/ADA/CAPN2/SETDB1/KLF4/MYB/CLU/AREG/PCNA/HNRNPD/RHOA/BAK1/HSP90AA1/PDGFB/OSER1/HGF/HMOX1/PRKCD/GNAI1/AXL/PEMT/ATP7A/KDM5B/HNRNPA1/SETX/BAD/CCND1/PSMD14/KDM6B/CHUK/TRAP1/CIITA/PSAP/STAT1/DDX11/PRKAA1/ID3/CYP1B1/CD27/AIFM1/ADCYAP1/MAPK7/RGS2/SLC2A4/SIRPA/TRH/FOXO3/HYAL2/CCR4/ALAD/MET/NFE2L2/CDK1/PLA2G4A/SLC1A3/GNAO1/MAPK13/RBP4/KDM1A/SIGMAR1	101
BP	GO:0030098	lymphocyte differentiation	105/2551	353/18670	1.851e-15	1.293e-12	7.881e-13	IKZF1/CD4/CEBPG/ANXA1/SART1/ATM/VAV1/CLPTM1/BTK/RBPJ/SPI1/KLF6/TP53/HHEX/DUSP10/KDELR1/CD83/LYL1/ITGB1/PIK3CD/ABL1/TCIRG1/CD2/PATZ1/CD80/INPP5D/CD3D/ZFP36L2/IFNG/GPR183/DOCK2/NOTCH2/CCR7/SASH3/JMJD6/RHOH/NLRP3/STAT6/MMP14/ADAM8/IL15/SYK/ADA/RNF41/MALT1/PRKDC/MFNG/MYB/RSAD2/HLX/PNP/XBP1/SOS1/GAS6/MTOR/CD3G/RHOA/BAK1/NCKAP1L/SRF/FZD7/LAG3/IL12RB1/IFNA2/IRF1/BATF/GPR18/AXL/ATP7A/LILRB4/BLNK/STK11/ZBTB1/AP3D1/BAD/RELB/CTNNB1/GPS2/CCR6/TNFSF8/CD27/KAT2A/INHBA/LIG4/CD28/FADD/LGALS9/LCK/ID2/PTPN22/MERTK/ITK/ITM2A/FANCA/FZD5/RPL22/MSH2/PTPRJ/LGALS1/RORA/AIRE/ZBTB7B/LY9/RASGRP1/ADAM17	105
BP	GO:0036293	response to decreased oxygen levels	108/2551	370/18670	3.062e-15	1.925e-12	1.173e-12	LDHA/ATM/ATF4/CYP1A1/HK2/VEGFB/RBPJ/PHB2/CREBBP/ITPR2/CREB1/PIN1/CAT/NR4A2/TP53/AHCY/PINK1/PSEN2/AKT1/TXN2/VEGFA/PDLIM1/PSMB4/GATA6/CASP3/DDIT4/UCP2/BNIP3L/PPARD/ADM/PSME3/CAV1/ARNT/PMAIP1/XRCC1/HSF1/ADIPOQ/NDRG1/PSMB3/NAMPT/PSMD3/MMP14/PML/ADAM8/THBS1/PSMB9/PSMD11/ADA/PTGS2/CAPN2/PSMA1/MYB/ENO1/SCAP/MTOR/UBC/PSME1/RHOA/SRF/HMOX1/CFLAR/ATP7A/ASCL2/BAD/PSMD14/S100B/IRAK1/PGK1/RPS27A/PRKAA1/PSMC6/TM9SF4/LMNA/PSMA3/UCP3/AIFM1/TGFB2/PSMC1/SLC2A4/ACTN4/TGFBR3/PSMB1/SCFD1/MDM4/CUL2/CCNA2/NF1/PSMA4/KCNK2/TRH/FOXO3/CXCL12/RORA/PSMC4/EDNRA/PTN/PLOD2/ALAD/PPARA/ROCK2/NFE2L2/CCNB1/RWDD3/MTHFR/ADAM17/PSMD13/ANKRD1/PSMD8	108
