ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
KEGG	hsa04142	Lysosome	62/1542	132/8135	1.554e-13	5.143e-11	2.666e-11	MAN2B1/GAA/FUCA1/TPP1/NAGLU/ACP5/NAGPA/SGSH/CTSA/AP1B1/GLA/CD63/ATP6V0A1/SMPD1/NPC1/AP1S2/ATP6V0C/DNASE2/CD164/CTSC/ARSA/CTSK/ASAH1/GM2A/CLN5/TCIRG1/CLTB/CLTA/AP3S1/PLA2G15/AP1S1/AP1G2/LAMP3/CTSD/GALC/ATP6AP1/CLN3/NPC2/CTNS/LGMN/DMXL1/AP3D1/LAPTM4B/ATP6V1H/PSAP/HEXA/AP4M1/NEU1/CTSZ/CTSF/LITAF/PPT1/CTSH/CTSE/IDS/SORT1/DMXL2/HYAL2/WDR7/CTSL/ABCB9/ATP6V0D1	62
KEGG	hsa04210	Apoptosis	61/1542	136/8135	3.047e-12	5.042e-10	2.614e-10	BCL2A1/ATM/TNFRSF1A/JUN/ATF4/MAPK3/ITPR2/TP53/MCL1/AKT1/CTSC/CTSK/DDIT3/PIK3CD/CASP3/LMNB2/PARP4/GADD45A/MAP2K2/IL3RA/PMAIP1/MAP3K14/BIRC3/HRAS/CAPN2/KRAS/CTSD/IKBKB/FAS/BAK1/CFLAR/ITPR3/GADD45B/PARP2/BAD/CHUK/PARP1/CYCS/CASP7/CAPN1/CASP10/TNFSF10/MAP2K1/LMNA/CTSZ/AIFM1/DFFA/CTSF/FADD/AKT2/CTSH/FASLG/TRADD/PIK3R2/SPTAN1/SPTA1/PIK3CB/TRAF1/CTSL/MAPK10/GZMB	61
KEGG	hsa05169	Epstein-Barr virus infection	77/1542	202/8135	9.514e-11	1.05e-08	5.442e-09	CCND2/HLA-DMB/OAS2/JUN/CCNA1/BTK/TYK2/HES1/CDKN1A/RBPJ/CIR1/TP53/AKT1/HLA-DMA/IFNAR1/PIK3CD/CASP3/IFNAR2/CD3D/TNFAIP3/STAT2/GADD45A/VIM/MAP3K14/PSMD3/HDAC1/PSMD11/SYK/TAP1/IKBKB/FAS/HLA-DOB/NFKB2/CD3G/BAK1/MAPK14/IFNA2/CDK2/CDK4/SNW1/BLNK/GADD45B/CCND1/PSMD14/RB1/CHUK/IRF3/RELB/CYCS/IRAK1/STAT1/NFKBIB/HLA-DQB1/PSMC6/CD44/PDIA3/PSMC1/FADD/IKBKE/AKT2/ADRM1/CD247/TRADD/PIK3R2/TRAF6/CCNA2/PIK3CB/HLA-A/PSMC4/MAP2K3/MAPK10/ITGAL/RAC1/MAPK13/PSMD13/NCOR2/PSMD8	77
KEGG	hsa05221	Acute myeloid leukemia	36/1542	67/8135	1.759e-10	1.456e-08	7.545e-09	CSF1R/BCL2A1/CCNA1/MAPK3/PIM1/SPI1/ITGAM/AKT1/CEBPA/PIK3CD/PPARD/CD14/MAP2K2/PER2/PML/HRAS/KRAS/IKBKB/ARAF/SOS1/RPS6KB2/MTOR/GRB2/BAD/CCND1/PIM2/CHUK/CSF2/MAP2K1/AKT2/PIK3R2/JUP/DUSP6/CCNA2/PIK3CB/STAT5A	36
KEGG	hsa05166	Human T-cell leukemia virus 1 infection	81/1542	222/8135	3.827e-10	2.483e-08	1.287e-08	CCND2/CD4/ATM/ETS2/HLA-DMB/TNFRSF1A/JUN/ATF4/CCNA1/CDKN1A/MAPK3/CREBBP/CREB1/SPI1/ADCY3/TP53/IL1R2/AKT1/ANAPC15/HLA-DMA/IL2RG/LTBR/PIK3CD/SLC25A6/CD3D/MAP2K2/PTTG1/MAP3K14/ESPL1/ANAPC13/IL15/ANAPC5/HRAS/MAD2L1/KRAS/TLN1/IKBKB/HLA-DOB/NFKB2/CD3G/ITGB2/EGR2/SRF/IL2RB/CDK2/IL1R1/PPP3CC/TRRAP/CDK4/ADCY9/CCND1/CDC16/RB1/FDPS/CHUK/CHEK1/RELB/CSF2/CRTC1/MAP2K1/GPS2/HLA-DQB1/PRKACB/KAT2A/CDKN2A/TGFB2/RAN/KAT2B/AKT2/LCK/PIK3R2/TBPL1/CCNA2/PIK3CB/HLA-A/ATR/MAPK10/ELK4/KAT5/ITGAL/STAT5A	81
KEGG	hsa05165	Human papillomavirus infection	109/1542	331/8135	4.501e-10	2.483e-08	1.287e-08	CCND2/SPP1/ATM/TNFRSF1A/TADA3/TSC2/ITGB7/CCNA1/RHEB/TYK2/HES1/CDKN1A/RBPJ/ATP6V0A1/MAPK3/CREBBP/CREB1/ATP6V0C/NFX1/TP53/AKT1/PPP2R1A/IFNAR1/LAMB2/VEGFA/PPP2R2A/ITGB1/ITGB5/PIK3CD/TCIRG1/CASP3/CSNK1A1/NOTCH3/IFNAR2/FZD2/RBL2/STAT2/FN1/MAP2K2/NOTCH2/RFNG/ITGA7/ATP6V1A/COL4A1/LAMC1/HDAC1/THBS1/HRAS/PTK2/PTGS2/KRAS/CDC42/MFNG/IKBKB/FAS/ATP6AP1/SOS1/GNAS/RPS6KB2/MTOR/BAK1/SCRIB/ATP6V1B2/FZD7/IFNA2/IRF1/ITGA1/PRKCI/ATP6V1G1/CDK2/GRB2/CDK4/BAD/MX2/CCND1/RB1/CHUK/IRF3/ATP6V1H/CTNNB1/MAP2K1/STAT1/ATP6V1D/PRKACB/ATP6V1E1/PSMC1/FADD/IKBKE/AKT2/PPP2R5D/FASLG/TRADD/DVL3/PIK3R2/LAMA2/TBPL1/FZD5/CCNA2/ATP6V0E2/PIK3CB/ITGB8/HLA-A/MX1/BCAP31/FZD6/ATR/MAGI1/COL4A4/ATP6V0D1	109
KEGG	hsa04380	Osteoclast differentiation	52/1542	128/8135	8.881e-09	4.199e-07	2.177e-07	NCF4/CSF1R/ACP5/TNFRSF1A/JUN/BTK/TYK2/MAPK3/LILRB5/CREB1/SPI1/PPARG/TYROBP/FYN/AKT1/IFNAR1/CTSK/FCGR3A/PIK3CD/IFNAR2/IFNG/STAT2/MAP3K14/SYK/LILRA3/IKBKB/NFKB2/MAPK14/GRB2/IL1R1/PPP3CC/LILRB4/BLNK/TNFSF11/CHUK/RELB/FOSL2/MAP2K1/STAT1/TGFB2/AKT2/LCK/PIK3R2/SIRPA/TRAF6/PIK3CB/MAPK10/LCP2/TNFRSF11A/RAC1/CSF1/MAPK13	52
KEGG	hsa04010	MAPK signaling pathway	95/1542	294/8135	1.81e-08	7.491e-07	3.883e-07	IGF1/FLT1/CSF1R/RPS6KA2/DUSP4/TNFRSF1A/JUN/ATF4/VEGFB/ARRB2/MAPK3/RAPGEF2/RAP1B/TP53/MAP3K11/AKT1/DUSP10/MKNK1/DDIT3/VEGFA/HSPA6/CASP3/HSPA8/RPS6KA4/DUSP5/FLNB/CD14/GADD45A/MAP2K2/IL1RAP/MAP3K14/PPM1A/HRAS/KRAS/CDC42/MAP4K2/IKBKB/ARAF/FAS/AREG/DUSP3/SOS1/NFKB2/PDGFB/SRF/GNG12/HGF/MAPK14/EREG/RRAS/GRB2/IL1R1/PPP3CC/FGF9/PDGFA/GADD45B/RASGRF1/MAP3K8/FGF1/GNA12/CHUK/RELB/MAP4K4/IRAK1/HSPA1B/MAP2K1/PRKACB/MKNK2/MAPK8IP3/ERBB4/TGFB2/AKT2/MAPK7/NR4A1/FASLG/TRADD/FGFR1/MAP3K4/RPS6KA3/DUSP6/TRAF6/NF1/FGF7/CDC25B/MAP2K3/MAPK10/MET/ELK4/RAC1/MAP4K1/CSF1/PLA2G4A/RASGRP1/TAOK3/MAPK13	95
KEGG	hsa05163	Human cytomegalovirus infection	77/1542	225/8135	2.787e-08	1.025e-06	5.314e-07	TNFRSF1A/GNAI2/TSC2/ATF4/RHEB/CDKN1A/MAPK3/ITPR2/CREB1/ADCY3/GNG7/TP53/GNG5/AKT1/ARHGEF11/PLCB3/IL10RA/ROCK1/VEGFA/AKAP13/PIK3CD/CASP3/MAP2K2/PLCB2/HRAS/PTK2/PTGS2/KRAS/TAP1/GNB2/IKBKB/FAS/SOS1/GNAS/RPS6KB2/MTOR/RHOA/PTGER3/CCR5/BAK1/GNG12/MAPK14/IFNA2/GNAI1/GRB2/IL1R1/ITPR3/PPP3CC/CDK4/ADCY9/CCND1/RB1/GNA12/CHUK/IRF3/CYCS/CTNNB1/MAP2K1/PRKACB/CXCL8/CDKN2A/PDIA3/FADD/AKT2/FASLG/CCL2/TRADD/PIK3R2/PIK3CB/HLA-A/CXCL12/CCL3/ROCK2/PTGER2/RAC1/GNAO1/MAPK13	77
KEGG	hsa05212	Pancreatic cancer	35/1542	76/8135	5.941e-08	1.966e-06	1.019e-06	ARHGEF6/PLD2/CDKN1A/MAPK3/TP53/AKT1/VEGFA/PIK3CD/GADD45A/PLD1/KRAS/RALA/CDC42/IKBKB/ARAF/RPS6KB2/MTOR/BAK1/CDK4/GADD45B/BAD/CCND1/RB1/CHUK/MAP2K1/STAT1/CDKN2A/TGFB2/AKT2/PIK3R2/PIK3CB/RAD51/MAPK10/RAC1/RALBP1	35
