symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
STAB1	-4.2982	9.6322	-25.331	2.3231e-09	2.003e-05	11.399
NISCH	-2.824	8.0606	-21.728	8.5012e-09	3.6649e-05	10.468
SNAPC1	3.1526	6.5436	19.765	1.8872e-08	5.4237e-05	9.8484
FBP1	3.2551	9.8946	16.509	8.5196e-08	0.00014171	8.5882
ERP29	-1.7707	8.64	-15.907	1.1609e-07	0.00014171	8.3166
EPHB2	-2.1193	6.6011	-15.778	1.2419e-07	0.00014171	8.2569
ADORA3	-2.0611	4.1764	-15.549	1.4026e-07	0.00014171	8.1487
ZBED1	-1.1937	9.802	-15.486	1.4507e-07	0.00014171	8.1186
S100A8	3.1846	10.22	15.45	1.4793e-07	0.00014171	8.1011
MAN2B1	-1.7985	8.0617	-14.882	2.0182e-07	0.00014976	7.8214
GAS7	-1.8567	7.3696	-14.713	2.218e-07	0.00014976	7.7357
EPHX1	-2.6166	5.182	-14.7	2.2345e-07	0.00014976	7.729
RBP1	-1.4481	6.1657	-14.681	2.258e-07	0.00014976	7.7195
GARS	2.3876	8.7927	14.209	2.9597e-07	0.00018228	7.4717
CCND2	1.7109	6.29	14.028	3.2898e-07	0.0001891	7.3742
GATM	-2.8922	4.3468	-13.736	3.9116e-07	0.00020917	7.2136
FCGRT	-2.9662	9.8062	-13.648	4.1242e-07	0.00020917	7.1643
NCF4	-3.4707	7.1203	-13.444	4.6677e-07	0.00022358	7.0487
ITM2B	-1.8217	10.206	-13.306	5.0821e-07	0.00022961	6.9689
RNASE6	-2.2785	9.4764	-13.23	5.3261e-07	0.00022961	6.9248
TARS	1.6254	7.7938	12.909	6.516e-07	0.00025673	6.7345
KCNAB2	-1.2669	8.5198	-12.901	6.5508e-07	0.00025673	6.7295
PLD3	-4.9926	7.0545	-12.149	1.0699e-06	0.00037947	6.2611
UBTF	-0.89638	5.6286	-12.115	1.0947e-06	0.00037947	6.2391
TBXAS1	-1.2788	8.8193	-12.107	1.1003e-06	0.00037947	6.2341
SPP1	1.8453	11.518	12.022	1.1652e-06	0.0003864	6.1789
ARHGAP4	-1.5834	9.0445	-11.954	1.2203e-06	0.00038969	6.1343
IKZF1	-1.653	6.2246	-11.763	1.3911e-06	0.00042013	6.0076
P2RY6	-2.0032	6.427	-11.736	1.4173e-06	0.00042013	5.9895
CD4	-2.6181	6.9066	-11.673	1.4805e-06	0.00042013	5.9471
GAA	-1.518	8.5157	-11.644	1.5105e-06	0.00042013	5.9276
IGF1	-3.0878	4.5722	-11.505	1.6649e-06	0.00043013	5.833
PTGIR	-1.3748	6.3198	-11.487	1.6862e-06	0.00043013	5.8206
AQP9	4.3781	7.6034	11.452	1.728e-06	0.00043013	5.7967
FUCA1	-2.5289	10.716	-11.438	1.7461e-06	0.00043013	5.7866
GSTP1	-1.7832	9.3976	-11.352	1.8552e-06	0.00044431	5.7274
DENND4B	-1.7208	7.6439	-11.265	1.9747e-06	0.00044999	5.6664
CEBPG	1.1393	7.3463	11.259	1.9832e-06	0.00044999	5.6622
ZBTB48	-1.0514	5.8097	-11.172	2.1115e-06	0.00046681	5.6008
CKS2	2.4783	7.4867	11.017	2.3633e-06	0.00048677	5.4902
EZR	1.7769	9.1199	11	2.3938e-06	0.00048677	5.4776
SERPINA1	1.9047	9.3854	10.965	2.4558e-06	0.00048677	5.4525
IARS	2.0508	7.2728	10.958	2.4689e-06	0.00048677	5.4472
DIAPH1	1.0216	8.8337	10.949	2.4841e-06	0.00048677	5.4412
GRN	-1.7654	11.002	-10.863	2.6472e-06	0.00049374	5.3785
FSTL1	1.9953	5.4463	10.851	2.6704e-06	0.00049374	5.37
HSPA13	1.7569	6.6042	10.841	2.6915e-06	0.00049374	5.3622
BLVRB	-2.1704	9.1068	-10.729	2.9244e-06	0.0005253	5.2803
RAB5C	-1.3266	8.6209	-10.664	3.0704e-06	0.00054026	5.2321
ATRN	-1.5944	6.213	-10.6	3.2237e-06	0.00054313	5.1839
LDHA	1.7497	10.38	10.599	3.2253e-06	0.00054313	5.1834
HBP1	1.0304	8.861	10.579	3.2757e-06	0.00054313	5.1681
ANXA1	2.2345	10.182	10.465	3.5728e-06	0.00058024	5.0819
FLT1	1.1131	5.4536	10.443	3.6341e-06	0.00058024	5.0651
ZBTB43	1.9286	7.1428	10.276	4.1336e-06	0.000648	4.937
PFKFB3	-1.7811	6.5339	-10.162	4.5195e-06	0.00069137	4.848
CDS1	1.2004	4.8188	10.147	4.5706e-06	0.00069137	4.8368
SYF2	0.78192	6.9498	10.076	4.8352e-06	0.00071877	4.7806
RENBP	-2.5213	6.5327	-9.9475	5.355e-06	0.00075955	4.6785
TSPAN4	-2.3577	7.1201	-9.9134	5.5032e-06	0.00075955	4.6512
CMKLR1	-1.4507	5.4313	-9.9033	5.5481e-06	0.00075955	4.643
WARS	2.1076	9.2799	9.8886	5.6139e-06	0.00075955	4.6312
ERGIC3	-1.5297	7.3984	-9.881	5.6487e-06	0.00075955	4.625
MAFF	3.332	9.6502	9.8743	5.6792e-06	0.00075955	4.6196
